[prime] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=4 htmlFetchStart=5 htmlFetchEnd=63 loadHTMLString=63 navStart=813 navFinish=946 jsReadyCheck=959 initMessage=1522 | JS(from t0) fcp=1593 lcp=1673 lastImageEnd=1531 lastResourceEnd=1531 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=117 byendpointEnd=270 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[prime] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=3 loadHTMLStart=4 htmlFetchStart=4 htmlFetchEnd=48 loadHTMLString=48 navStart=51 navFinish=147 jsReadyCheck=148 initMessage=238 | JS(from t0) fcp=281 lcp=281 lastImageEnd=247 lastResourceEnd=247 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=48096 byendpointDur=0 byendpointEnd=96 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-1] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=43 loadHTMLString=43 navStart=258 navFinish=288 jsReadyCheck=293 initMessage=409 | JS(from t0) fcp=477 lcp=493 lastImageEnd=414 lastResourceEnd=415 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=27734 byendpointDur=1 byendpointEnd=34 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-1] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=5 htmlFetchStart=5 htmlFetchEnd=50 loadHTMLString=50 navStart=53 navFinish=142 jsReadyCheck=144 initMessage=249 | JS(from t0) fcp=276 lcp=293 lastImageEnd=252 lastResourceEnd=252 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=76273 byendpointDur=0 byendpointEnd=90 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-2] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=41 loadHTMLString=41 navStart=244 navFinish=269 jsReadyCheck=272 initMessage=374 | JS(from t0) fcp=443 lcp=460 lastImageEnd=378 lastResourceEnd=378 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=50506 byendpointDur=2 byendpointEnd=29 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-2] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=4 htmlFetchStart=4 htmlFetchEnd=48 loadHTMLString=48 navStart=51 navFinish=141 jsReadyCheck=153 initMessage=235 | JS(from t0) fcp=277 lcp=277 lastImageEnd=239 lastResourceEnd=239 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=51343 byendpointDur=0 byendpointEnd=91 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-3] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=52 loadHTMLString=55 navStart=251 navFinish=275 jsReadyCheck=278 initMessage=357 | JS(from t0) fcp=411 lcp=478 lastImageEnd=361 lastResourceEnd=361 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=1 byendpointEnd=28 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943035
[warm-3] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=4 htmlFetchStart=4 htmlFetchEnd=43 loadHTMLString=43 navStart=46 navFinish=100 jsReadyCheck=102 initMessage=587 | JS(from t0) fcp=643 lcp=643 lastImageEnd=591 lastResourceEnd=591 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=80086 byendpointDur=361 byendpointEnd=423 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[warm-4] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=43 loadHTMLString=44 navStart=230 navFinish=256 jsReadyCheck=259 initMessage=366 | JS(from t0) fcp=435 lcp=451 lastImageEnd=370 lastResourceEnd=371 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=52276 byendpointDur=1 byendpointEnd=30 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[warm-4] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=4 loadHTMLStart=4 htmlFetchStart=5 htmlFetchEnd=156 loadHTMLString=156 navStart=160 navFinish=180 jsReadyCheck=183 initMessage=274 | JS(from t0) fcp=317 lcp=317 lastImageEnd=279 lastResourceEnd=279 | resourceCount=6 imageCount=3 transferBytes=0 lcpSize=48096 byendpointDur=0 byendpointEnd=22 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
[warm-5] SUMMARY mode=persistent+reuse | NATIVE begin=0 setupWebView=0 webViewCreated=0 loadHTMLStart=0 htmlFetchStart=0 htmlFetchEnd=41 loadHTMLString=41 navStart=313 navFinish=370 jsReadyCheck=376 initMessage=475 | JS(from t0) fcp=532 lcp=598 lastImageEnd=483 lastResourceEnd=483 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 byendpointDur=2 byendpointEnd=68 finalizedByCap=0 | showBE=https://web-static.mindbox.ru/js/byendpoint/mpush-test.webview.js?_=5943036
