[coldPW-1] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=16 htmlFetchStart=16 htmlFetchEnd=159 loadHTMLString=159 navStart=371 navFinish=1291 jsReadyCheck=1291 initMessage=1394 | JS(from t0) fcp=1442 lcp=1519 lastImageEnd=3235 lastResourceEnd=3235 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-2] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=59 loadHTMLString=60 navStart=368 navFinish=1171 jsReadyCheck=1172 initMessage=1261 | JS(from t0) fcp=1314 lcp=1381 lastImageEnd=2872 lastResourceEnd=2872 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-3] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=13 htmlFetchStart=13 htmlFetchEnd=62 loadHTMLString=62 navStart=372 navFinish=1463 jsReadyCheck=1475 | JS(from t0) lastResourceEnd=1433 | resourceCount=2 imageCount=0 transferBytes=0 finalizedByCap=0 || prewarmFired
[coldPW-4] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=16 htmlFetchStart=16 htmlFetchEnd=1067 loadHTMLString=1067 navStart=1111 navFinish=3211 jsReadyCheck=3215 initMessage=4430 | JS(from t0) fcp=4476 lcp=4543 lastImageEnd=5882 lastResourceEnd=5882 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-5] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=18 loadHTMLStart=18 htmlFetchStart=19 htmlFetchEnd=81 loadHTMLString=81 navStart=375 navFinish=988 jsReadyCheck=988 initMessage=1117 | JS(from t0) fcp=1161 lcp=1228 lastImageEnd=2411 lastResourceEnd=2411 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-6] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=3084 loadHTMLString=3084 navStart=3091 navFinish=4195 jsReadyCheck=4198 initMessage=4389 | JS(from t0) fcp=4436 lcp=4503 lastImageEnd=5713 lastResourceEnd=5713 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-7] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=2077 loadHTMLString=2077 navStart=2084 navFinish=2698 jsReadyCheck=2699 initMessage=2812 | JS(from t0) fcp=2858 lcp=2925 lastImageEnd=4301 lastResourceEnd=4301 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-8] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=15 loadHTMLStart=16 htmlFetchStart=16 htmlFetchEnd=69 loadHTMLString=69 navStart=395 navFinish=1323 jsReadyCheck=1323 initMessage=1418 | JS(from t0) fcp=1471 lcp=1538 lastImageEnd=2977 lastResourceEnd=2977 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-9] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=12 loadHTMLStart=13 htmlFetchStart=13 htmlFetchEnd=1057 loadHTMLString=1058 navStart=1068 navFinish=1897 jsReadyCheck=1897 initMessage=1996 | JS(from t0) fcp=2049 lcp=2116 lastImageEnd=3661 lastResourceEnd=3661 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[coldPW-10] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=15 loadHTMLStart=16 htmlFetchStart=16 htmlFetchEnd=1063 loadHTMLString=1063 navStart=1122 navFinish=1672 jsReadyCheck=1673 initMessage=1762 | JS(from t0) fcp=1813 lcp=1880 lastImageEnd=3179 lastResourceEnd=3179 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[primePW] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=61 loadHTMLString=66 navStart=369 navFinish=441 jsReadyCheck=444 initMessage=568 | JS(from t0) fcp=621 lcp=688 lastImageEnd=571 lastResourceEnd=571 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-1] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=15 htmlFetchStart=15 htmlFetchEnd=63 loadHTMLString=63 navStart=374 navFinish=425 jsReadyCheck=429 initMessage=514 | JS(from t0) fcp=567 lcp=634 lastImageEnd=517 lastResourceEnd=518 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-2] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=12 loadHTMLStart=13 htmlFetchStart=13 htmlFetchEnd=62 loadHTMLString=64 navStart=379 navFinish=431 jsReadyCheck=434 initMessage=532 | JS(from t0) fcp=585 lcp=651 lastImageEnd=536 lastResourceEnd=536 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-3] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=62 loadHTMLString=66 navStart=388 navFinish=441 jsReadyCheck=445 initMessage=534 | JS(from t0) fcp=588 lcp=654 lastImageEnd=538 lastResourceEnd=538 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-4] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=15 htmlFetchStart=15 htmlFetchEnd=65 loadHTMLString=65 navStart=372 navFinish=425 jsReadyCheck=429 initMessage=528 | JS(from t0) fcp=581 lcp=647 lastImageEnd=532 lastResourceEnd=532 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-5] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=58 loadHTMLString=69 navStart=379 navFinish=431 jsReadyCheck=434 initMessage=520 | JS(from t0) fcp=574 lcp=640 lastImageEnd=524 lastResourceEnd=524 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-6] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=16 loadHTMLStart=17 htmlFetchStart=17 htmlFetchEnd=65 loadHTMLString=71 navStart=377 navFinish=429 jsReadyCheck=432 initMessage=523 | JS(from t0) fcp=577 lcp=644 lastImageEnd=527 lastResourceEnd=527 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-7] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=57 loadHTMLString=69 navStart=377 navFinish=431 jsReadyCheck=434 initMessage=537 | JS(from t0) fcp=590 lcp=656 lastImageEnd=540 lastResourceEnd=541 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-8] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=13 loadHTMLStart=14 htmlFetchStart=14 htmlFetchEnd=65 loadHTMLString=65 navStart=380 navFinish=430 jsReadyCheck=433 initMessage=531 | JS(from t0) fcp=585 lcp=651 lastImageEnd=535 lastResourceEnd=535 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-9] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=14 htmlFetchStart=15 htmlFetchEnd=59 loadHTMLString=60 navStart=380 navFinish=432 jsReadyCheck=435 initMessage=538 | JS(from t0) fcp=591 lcp=657 lastImageEnd=542 lastResourceEnd=542 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
[warmPW-10] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=14 loadHTMLStart=15 htmlFetchStart=15 htmlFetchEnd=62 loadHTMLString=66 navStart=376 navFinish=429 jsReadyCheck=433 initMessage=518 | JS(from t0) fcp=571 lcp=638 lastImageEnd=521 lastResourceEnd=522 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || prewarmFired
ALL DONE
