[cold-1] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=44 loadHTMLStart=45 htmlFetchStart=45 htmlFetchEnd=2214 loadHTMLString=2214 navStart=2249 navFinish=3139 jsReadyCheck=3139 initMessage=3236 | JS(from t0) fcp=3283 lcp=3350 lastImageEnd=5540 lastResourceEnd=5540 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-2] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=51 loadHTMLStart=51 htmlFetchStart=51 htmlFetchEnd=93 loadHTMLString=102 navStart=621 navFinish=1432 jsReadyCheck=1432 initMessage=1528 | JS(from t0) fcp=1581 lcp=1647 lastImageEnd=2907 lastResourceEnd=2907 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-3] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=44 loadHTMLStart=45 htmlFetchStart=45 htmlFetchEnd=81 loadHTMLString=81 navStart=607 navFinish=2708 jsReadyCheck=2712 initMessage=2895 | JS(from t0) fcp=2944 lcp=3010 lastImageEnd=4494 lastResourceEnd=4494 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-4] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=47 loadHTMLStart=48 htmlFetchStart=48 htmlFetchEnd=86 loadHTMLString=86 navStart=623 navFinish=1283 jsReadyCheck=1284 initMessage=1416 | JS(from t0) fcp=1461 lcp=1527 lastImageEnd=2798 lastResourceEnd=2798 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-5] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=49 htmlFetchStart=50 htmlFetchEnd=88 loadHTMLString=99 navStart=638 navFinish=1202 jsReadyCheck=1202 initMessage=1297 | JS(from t0) fcp=1381 lcp=1404 lastImageEnd=2865 lastResourceEnd=2865 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=10761 finalizedByCap=0 || noInAppMetric
[cold-6] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=50 htmlFetchStart=50 htmlFetchEnd=88 loadHTMLString=94 navStart=617 navFinish=1283 jsReadyCheck=1283 initMessage=1388 | JS(from t0) fcp=1432 lcp=1499 lastImageEnd=2907 lastResourceEnd=2907 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-7] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=49 htmlFetchStart=49 htmlFetchEnd=86 loadHTMLString=97 navStart=631 navFinish=4742 jsReadyCheck=4746 initMessage=4919 | JS(from t0) fcp=4969 lcp=5036 lastImageEnd=6654 lastResourceEnd=6654 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-8] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=44 loadHTMLStart=44 htmlFetchStart=44 htmlFetchEnd=82 loadHTMLString=82 navStart=605 navFinish=1191 jsReadyCheck=1191 initMessage=1279 | JS(from t0) fcp=1357 lcp=1378 lastImageEnd=2714 lastResourceEnd=2714 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-9] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=50 loadHTMLStart=50 htmlFetchStart=50 htmlFetchEnd=2106 loadHTMLString=2106 navStart=2138 navFinish=2731 jsReadyCheck=2732 initMessage=2837 | JS(from t0) fcp=2883 lcp=2950 lastImageEnd=4927 lastResourceEnd=4927 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[cold-10] SUMMARY mode=ephemeral | NATIVE begin=0 setupWebView=0 webViewCreated=46 loadHTMLStart=47 htmlFetchStart=47 htmlFetchEnd=1191 loadHTMLString=1191 navStart=1222 navFinish=2320 jsReadyCheck=2325 initMessage=2486 | JS(from t0) fcp=2553 lcp=2620 lastImageEnd=3976 lastResourceEnd=3976 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[prime-warm] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=49 htmlFetchStart=50 htmlFetchEnd=88 loadHTMLString=92 navStart=629 navFinish=713 jsReadyCheck=716 initMessage=859 | JS(from t0) fcp=928 lcp=945 lastImageEnd=864 lastResourceEnd=864 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=55816 finalizedByCap=0 || noInAppMetric
[warm-1] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=44 loadHTMLStart=45 htmlFetchStart=45 htmlFetchEnd=84 loadHTMLString=84 navStart=635 navFinish=688 jsReadyCheck=693 initMessage=802 | JS(from t0) fcp=870 lcp=887 lastImageEnd=807 lastResourceEnd=807 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=52276 finalizedByCap=0 || noInAppMetric
[warm-2] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=49 loadHTMLStart=49 htmlFetchStart=50 htmlFetchEnd=94 loadHTMLString=97 navStart=672 navFinish=729 jsReadyCheck=733 initMessage=847 | JS(from t0) fcp=901 lcp=967 lastImageEnd=851 lastResourceEnd=851 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
[warm-3] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=53 loadHTMLStart=53 htmlFetchStart=54 htmlFetchEnd=1089 loadHTMLString=1089 navStart=1238 navFinish=1265 jsReadyCheck=1272 initMessage=1722 | JS(from t0) fcp=1787 lcp=1804 lastImageEnd=1728 lastResourceEnd=1728 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=27734 finalizedByCap=0 || noInAppMetric
[warm-4] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=45 loadHTMLStart=46 htmlFetchStart=46 htmlFetchEnd=2094 loadHTMLString=2094 navStart=2128 navFinish=2165 jsReadyCheck=2169 initMessage=2274 | JS(from t0) fcp=2343 lcp=2360 lastImageEnd=2278 lastResourceEnd=2279 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=55816 finalizedByCap=0 || noInAppMetric
[warm-5] SUMMARY mode=persistent | NATIVE begin=0 setupWebView=0 webViewCreated=43 loadHTMLStart=43 htmlFetchStart=44 htmlFetchEnd=86 loadHTMLString=86 navStart=619 navFinish=672 jsReadyCheck=677 initMessage=783 | JS(from t0) fcp=838 lcp=905 lastImageEnd=787 lastResourceEnd=788 | resourceCount=6 imageCount=2 transferBytes=0 lcpSize=23757 finalizedByCap=0 || noInAppMetric
